...1,date,stat,stat2,before,loc,trt,trt2,days,area,totm2d,total,chir,cera,doli,ephe,tric,simu,coleo,odo,hem,chiro_mg_dm,doli_mg_dm,tric_mg_dm,odo_mg_dm,ephem_mg_dm,tot_mg_dm,tot_mg_dm_m2_d,id
1,05/28/17,4,4,pre,Above,Ambient,ctrl,4,0.36,17,25,25,0,0,0,0,0,0,0,0,24.75,0,0,0,0,24.75,17.1875,4_Above
2,05/28/17,4,14,pre,Below,Ambient,ctrl,4,0.36,1,1,1,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0.99,0.6875,4_Below
3,05/28/17,1,11,pre,Below,Ambient,ctrl,4,0.36,3,4,4,0,0,0,0,0,0,0,0,3.96,0,0,0,0,3.96,2.75,1_Below
4,05/28/17,2,2,pre,Above,Cage Control,ctrl,4,0.36,3,4,4,0,0,0,0,0,0,0,0,3.96,0,0,0,0,3.96,2.75,2_Above
5,05/28/17,1,1,pre,Above,Exclusion,exc,4,0.36,2,3,3,0,0,0,0,0,0,0,0,2.9699999999999998,0,0,0,0,2.9699999999999998,2.0625,1_Above
6,05/28/17,5,5,pre,Above,Exclusion,exc,4,0.36,8,11,11,0,0,0,0,0,0,0,0,10.89,0,0,0,0,10.89,7.562500000000001,5_Above
7,05/28/17,3,3,pre,Above,Exclusion,exc,4,0.36,13,19,19,0,0,0,0,0,0,0,0,18.81,0,0,0,0,18.81,13.0625,3_Above
8,05/28/17,5,15,pre,Below,Exclusion,exc,4,0.36,3,4,4,0,0,0,0,0,0,0,0,3.96,0,0,0,0,3.96,2.75,5_Below
9,05/28/17,3,13,pre,Below,Exclusion,exc,4,0.36,3,5,5,0,0,0,0,0,0,0,0,4.95,0,0,0,0,4.95,3.4375000000000004,3_Below
10,05/28/17,2,12,pre,Below,Exclusion,exc,4,0.36,5,7,5,0,0,0,0,0,2,0,0,4.95,0,0,0,0,4.95,3.4375000000000004,2_Below
11,06/06/17,4,4,post,Above,Ambient,ctrl,4,0.36,22,32,32,0,0,0,0,0,0,0,0,31.68,0,0,0,0,31.68,22,4_Above
12,06/06/17,10,10,post,Above,Ambient,ctrl,4,0.36,33,48,48,0,0,0,0,0,0,0,0,47.519999999999996,0,0,0,0,47.519999999999996,33,10_Above
13,06/06/17,7,7,post,Above,Ambient,ctrl,4,0.36,78,113,112,0,0,0,0,0,0,0,1,110.88,0,0,0,0,110.88,77,7_Above
14,06/06/17,10,20,post,Below,Ambient,ctrl,4,0.36,6,9,9,0,0,0,0,0,0,0,0,8.91,0,0,0,0,8.91,6.1875,10_Below
15,06/06/17,6,16,post,Below,Ambient,ctrl,4,0.36,9,13,13,0,0,0,0,0,0,0,0,12.87,0,0,0,0,12.87,8.9375,6_Below
16,06/06/17,4,14,post,Below,Ambient,ctrl,4,0.36,15,22,22,0,0,0,0,0,0,0,0,21.78,0,0,0,0,21.78,15.125000000000002,4_Below
17,06/06/17,1,11,post,Below,Ambient,ctrl,4,0.36,21,30,30,0,0,0,0,0,0,0,0,29.7,0,0,0,0,29.7,20.625,1_Below
18,06/06/17,8,18,post,Below,Ambient,ctrl,4,0.36,34,49,49,0,0,0,0,0,0,0,0,48.51,0,0,0,0,48.51,33.6875,8_Below
19,06/06/17,8,8,post,Above,Cage Control,ctrl,4,0.36,8,11,11,0,0,0,0,0,0,0,0,10.89,0,0,0,0,10.89,7.562500000000001,8_Above
20,06/06/17,2,2,post,Above,Cage Control,ctrl,4,0.36,20,29,28,0,0,0,0,0,0,1,0,27.72,0,0,6.2,0,33.92,23.555555555555557,2_Above
21,06/06/17,9,19,post,Below,Cage Control,ctrl,4,0.36,13,18,18,0,0,0,0,0,0,0,0,17.82,0,0,0,0,17.82,12.375,9_Below
22,06/06/17,5,5,post,Above,Exclusion,exc,4,0.36,16,23,23,0,0,0,0,0,0,0,0,22.77,0,0,0,0,22.77,15.8125,5_Above
23,06/06/17,1,1,post,Above,Exclusion,exc,4,0.36,26,37,37,0,0,0,0,0,0,0,0,36.63,0,0,0,0,36.63,25.437500000000004,1_Above
24,06/06/17,6,6,post,Above,Exclusion,exc,4,0.36,51,74,74,0,0,0,0,0,0,0,0,73.26,0,0,0,0,73.26,50.87500000000001,6_Above
25,06/06/17,3,3,post,Above,Exclusion,exc,4,0.36,56,80,80,0,0,0,0,0,0,0,0,79.2,0,0,0,0,79.2,55.00000000000001,3_Above
26,06/06/17,9,9,post,Above,Exclusion,exc,4,0.36,84,121,121,0,0,0,0,0,0,0,0,119.78999999999999,0,0,0,0,119.78999999999999,83.1875,9_Above
27,06/06/17,2,12,post,Below,Exclusion,exc,4,0.36,15,21,21,0,0,0,0,0,0,0,0,20.79,0,0,0,0,20.79,14.4375,2_Below
28,06/06/17,5,15,post,Below,Exclusion,exc,4,0.36,19,27,27,0,0,0,0,0,0,0,0,26.73,0,0,0,0,26.73,18.5625,5_Below
29,06/06/17,7,17,post,Below,Exclusion,exc,4,0.36,19,28,27,0,0,0,0,0,1,0,0,26.73,0,0,0,0,26.73,18.5625,7_Below
30,06/06/17,3,13,post,Below,Exclusion,exc,4,0.36,64,92,92,0,0,0,0,0,0,0,0,91.08,0,0,0,0,91.08,63.25,3_Below
31,06/12/17,4,4,post,Above,Ambient,ctrl,4,0.36,36,52,52,0,0,0,0,0,0,0,0,51.48,0,0,0,0,51.48,35.75,4_Above
32,06/12/17,10,10,post,Above,Ambient,ctrl,4,0.36,58,83,82,1,0,0,0,0,0,0,0,81.17999999999999,0,0,0,0,81.17999999999999,56.375,10_Above
33,06/12/17,7,7,post,Above,Ambient,ctrl,4,0.36,351,506,506,0,0,0,0,0,0,0,0,500.94,0,0,0,0,500.94,347.875,7_Above
34,06/12/17,8,18,post,Below,Ambient,ctrl,4,0.36,40,57,57,0,0,0,0,0,0,0,0,56.43,0,0,0,0,56.43,39.1875,8_Below
35,06/12/17,1,11,post,Below,Ambient,ctrl,4,0.36,49,70,70,0,0,0,0,0,0,0,0,69.3,0,0,0,0,69.3,48.125,1_Below
36,06/12/17,6,16,post,Below,Ambient,ctrl,4,0.36,50,72,71,1,0,0,0,0,0,0,0,70.29,0,0,0,0,70.29,48.81250000000001,6_Below
37,06/12/17,4,14,post,Below,Ambient,ctrl,4,0.36,179,258,257,1,0,0,0,0,0,0,0,254.43,0,0,0,0,254.43,176.6875,4_Below
38,06/12/17,8,8,post,Above,Cage Control,ctrl,4,0.36,28,41,41,0,0,0,0,0,0,0,0,40.589999999999996,0,0,0,0,40.589999999999996,28.1875,8_Above
39,06/12/17,2,2,post,Above,Cage Control,ctrl,4,0.36,34,49,49,0,0,0,0,0,0,0,0,48.51,0,0,0,0,48.51,33.6875,2_Above
40,06/12/17,9,19,post,Below,Cage Control,ctrl,4,0.36,22,31,31,0,0,0,0,0,0,0,0,30.69,0,0,0,0,30.69,21.3125,9_Below
41,06/12/17,6,6,post,Above,Exclusion,exc,4,0.36,119,171,168,3,0,0,0,0,0,0,0,166.32,0,0,0,0,166.32,115.5,6_Above
42,06/12/17,9,9,post,Above,Exclusion,exc,4,0.36,226,325,325,0,0,0,0,0,0,0,0,321.75,0,0,0,0,321.75,223.4375,9_Above
43,06/12/17,1,1,post,Above,Exclusion,exc,4,0.36,256,368,368,0,0,0,0,0,0,0,0,364.32,0,0,0,0,364.32,253,1_Above
44,06/12/17,5,5,post,Above,Exclusion,exc,4,0.36,407,586,585,0,0,0,0,0,0,0,1,579.15,0,0,0,0,579.15,402.1875,5_Above
45,06/12/17,3,3,post,Above,Exclusion,exc,4,0.36,435,627,627,0,0,0,0,0,0,0,0,620.73,0,0,0,0,620.73,431.06250000000006,3_Above
46,06/12/17,3,13,post,Below,Exclusion,exc,4,0.36,52,75,75,0,0,0,0,0,0,0,0,74.25,0,0,0,0,74.25,51.5625,3_Below
47,06/12/17,7,17,post,Below,Exclusion,exc,4,0.36,128,185,185,0,0,0,0,0,0,0,0,183.15,0,0,0,0,183.15,127.18750000000001,7_Below
48,06/12/17,2,12,post,Below,Exclusion,exc,4,0.36,175,252,251,1,0,0,0,0,0,0,0,248.49,0,0,0,0,248.49,172.5625,2_Below
49,06/12/17,5,15,post,Below,Exclusion,exc,4,0.36,261,376,375,0,0,0,0,0,1,0,0,371.25,0,0,0,0,371.25,257.8125,5_Below
50,06/16/17,4,4,post,Above,Ambient,ctrl,3,0.36,38,41,41,0,0,0,0,0,0,0,0,40.589999999999996,0,0,0,0,40.589999999999996,37.583333333333336,4_Above
51,06/16/17,10,10,post,Above,Ambient,ctrl,3,0.36,56,60,59,0,1,0,0,0,0,0,0,58.41,0.65,0,0,0,59.059999999999995,54.68518518518518,10_Above
52,06/16/17,7,7,post,Above,Ambient,ctrl,3,0.36,95,103,101,1,0,0,0,1,0,0,0,99.99,0,0,0,0,99.99,92.58333333333333,7_Above
53,06/16/17,10,20,post,Below,Ambient,ctrl,3,0.36,5,5,5,0,0,0,0,0,0,0,0,4.95,0,0,0,0,4.95,4.583333333333334,10_Below
54,06/16/17,1,11,post,Below,Ambient,ctrl,3,0.36,19,20,20,0,0,0,0,0,0,0,0,19.8,0,0,0,0,19.8,18.333333333333336,1_Below
55,06/16/17,6,16,post,Below,Ambient,ctrl,3,0.36,39,42,39,0,0,0,0,0,3,0,0,38.61,0,0,0,0,38.61,35.75,6_Below
56,06/16/17,8,18,post,Below,Ambient,ctrl,3,0.36,42,45,44,0,0,0,0,0,1,0,0,43.56,0,0,0,0,43.56,40.333333333333336,8_Below
57,06/16/17,4,14,post,Below,Ambient,ctrl,3,0.36,896,968,968,0,0,0,0,0,0,0,0,958.3199999999999,0,0,0,0,958.3199999999999,887.3333333333334,4_Below
58,06/16/17,2,2,post,Above,Cage Control,ctrl,3,0.36,52,56,56,0,0,0,0,0,0,0,0,55.44,0,0,0,0,55.44,51.333333333333336,2_Above
59,06/16/17,8,8,post,Above,Cage Control,ctrl,3,0.36,65,70,66,0,0,0,0,0,4,0,0,65.34,0,0,0,0,65.34,60.50000000000001,8_Above
60,06/16/17,9,19,post,Below,Cage Control,ctrl,3,0.36,36,39,38,0,0,0,0,0,1,0,0,37.62,0,0,0,0,37.62,34.833333333333336,9_Below
61,06/16/17,1,1,post,Above,Exclusion,exc,3,0.36,581,628,628,0,0,0,0,0,0,0,0,621.72,0,0,0,0,621.72,575.6666666666667,1_Above
62,06/16/17,9,9,post,Above,Exclusion,exc,3,0.36,1203,1299,1299,0,0,0,0,0,0,0,0,1286.01,0,0,0,0,1286.01,1190.75,9_Above
63,06/16/17,6,6,post,Above,Exclusion,exc,3,0.36,1735,1874,1874,0,0,0,0,0,0,0,0,1855.26,0,0,0,0,1855.26,1717.8333333333333,6_Above
64,06/16/17,5,5,post,Above,Exclusion,exc,3,0.36,1872,2022,2022,0,0,0,0,0,0,0,0,2001.78,0,0,0,0,2001.78,1853.5,5_Above
65,06/16/17,3,3,post,Above,Exclusion,exc,3,0.36,1981,2140,2140,0,0,0,0,0,0,0,0,2118.6,0,0,0,0,2118.6,1961.6666666666667,3_Above
66,06/16/17,3,13,post,Below,Exclusion,exc,3,0.36,34,37,35,0,0,0,0,0,2,0,0,34.65,0,0,0,0,34.65,32.083333333333336,3_Below
67,06/16/17,7,17,post,Below,Exclusion,exc,3,0.36,335,362,362,0,0,0,0,0,0,0,0,358.38,0,0,0,0,358.38,331.8333333333333,7_Below
68,06/16/17,5,15,post,Below,Exclusion,exc,3,0.36,577,623,623,0,0,0,0,0,0,0,0,616.77,0,0,0,0,616.77,571.0833333333334,5_Below
69,06/16/17,2,12,post,Below,Exclusion,exc,3,0.36,621,671,671,0,0,0,0,0,0,0,0,664.29,0,0,0,0,664.29,615.0833333333334,2_Below
70,06/23/17,10,10,post,Above,Ambient,ctrl,4,0.36,13,19,19,0,0,0,0,0,0,0,0,18.81,0,0,0,0,18.81,13.0625,10_Above
71,06/23/17,4,4,post,Above,Ambient,ctrl,4,0.36,88,126,119,0,0,0,0,1,6,0,0,117.81,0,0,0,0,117.81,81.8125,4_Above
72,06/23/17,7,7,post,Above,Ambient,ctrl,4,0.36,112,161,159,0,0,0,1,1,0,0,0,157.41,0,0.8,0,0,158.21,109.86805555555557,7_Above
73,06/23/17,10,20,post,Below,Ambient,ctrl,4,0.36,8,12,12,0,0,0,0,0,0,0,0,11.879999999999999,0,0,0,0,11.879999999999999,8.25,10_Below
74,06/23/17,1,11,post,Below,Ambient,ctrl,4,0.36,26,37,37,0,0,0,0,0,0,0,0,36.63,0,0,0,0,36.63,25.437500000000004,1_Below
75,06/23/17,8,18,post,Below,Ambient,ctrl,4,0.36,27,39,39,0,0,0,0,0,0,0,0,38.61,0,0,0,0,38.61,26.8125,8_Below
76,06/23/17,4,14,post,Below,Ambient,ctrl,4,0.36,31,45,45,0,0,0,0,0,0,0,0,44.55,0,0,0,0,44.55,30.9375,4_Below
77,06/23/17,6,16,post,Below,Ambient,ctrl,4,0.36,882,1270,1270,0,0,0,0,0,0,0,0,1257.3,0,0,0,0,1257.3,873.125,6_Below
78,06/23/17,2,2,post,Above,Cage Control,ctrl,4,0.36,41,59,58,1,0,0,0,0,0,0,0,57.42,0,0,0,0,57.42,39.875,2_Above
79,06/23/17,8,8,post,Above,Cage Control,ctrl,4,0.36,74,106,103,1,0,0,0,0,2,0,0,101.97,0,0,0,0,101.97,70.8125,8_Above
80,06/23/17,9,19,post,Below,Cage Control,ctrl,4,0.36,86,124,124,0,0,0,0,0,0,0,0,122.76,0,0,0,0,122.76,85.25,9_Below
81,06/23/17,1,1,post,Above,Exclusion,exc,4,0.36,880,1267,1267,0,0,0,0,0,0,0,0,1254.33,0,0,0,0,1254.33,871.0625,1_Above
