date,trt,taxon,id
05/28/17,ctrl,chiro_mg_dm,4 Above
05/28/17,ctrl,chiro_mg_dm,4 Below
05/28/17,ctrl,chiro_mg_dm,1 Below
05/28/17,ctrl,chiro_mg_dm,2 Above
05/28/17,exc,chiro_mg_dm,1 Above
05/28/17,exc,chiro_mg_dm,5 Above
05/28/17,exc,chiro_mg_dm,3 Above
05/28/17,exc,chiro_mg_dm,5 Below
05/28/17,exc,chiro_mg_dm,3 Below
05/28/17,exc,chiro_mg_dm,2 Below
06/06/17,ctrl,chiro_mg_dm,4 Above
06/06/17,ctrl,chiro_mg_dm,10 Above
06/06/17,ctrl,chiro_mg_dm,7 Above
06/06/17,ctrl,chiro_mg_dm,10 Below
06/06/17,ctrl,chiro_mg_dm,6 Below
06/06/17,ctrl,chiro_mg_dm,4 Below
06/06/17,ctrl,chiro_mg_dm,1 Below
06/06/17,ctrl,chiro_mg_dm,8 Below
06/06/17,ctrl,chiro_mg_dm,8 Above
06/06/17,ctrl,chiro_mg_dm,2 Above
06/06/17,ctrl,chiro_mg_dm,9 Below
06/06/17,exc,chiro_mg_dm,5 Above
06/06/17,exc,chiro_mg_dm,1 Above
06/06/17,exc,chiro_mg_dm,6 Above
06/06/17,exc,chiro_mg_dm,3 Above
06/06/17,exc,chiro_mg_dm,9 Above
06/06/17,exc,chiro_mg_dm,2 Below
06/06/17,exc,chiro_mg_dm,5 Below
06/06/17,exc,chiro_mg_dm,7 Below
06/06/17,exc,chiro_mg_dm,3 Below
06/12/17,ctrl,chiro_mg_dm,4 Above
06/12/17,ctrl,chiro_mg_dm,10 Above
06/12/17,ctrl,chiro_mg_dm,7 Above
06/12/17,ctrl,chiro_mg_dm,8 Below
06/12/17,ctrl,chiro_mg_dm,1 Below
06/12/17,ctrl,chiro_mg_dm,6 Below
06/12/17,ctrl,chiro_mg_dm,4 Below
06/12/17,ctrl,chiro_mg_dm,8 Above
06/12/17,ctrl,chiro_mg_dm,2 Above
06/12/17,ctrl,chiro_mg_dm,9 Below
