"","trt2","mean","median","sd","low95","high95"
"1","fish",1971.32262569558,1823.75852458548,920.443932581873,609.58437276805,4149.08286924141
"2","no fish",253.421188517966,242.066226721292,113.882390467564,76.779637312458,525.943110435635
