date,trt,mean,median,sd,low95,high95
2017-06-02,fish,21,13,31,3,87
2017-06-02,no_fish,248,26,1782,1,1471
2017-06-28,fish,1275,913,1344,214,4568
2017-06-28,no_fish,3359,2044,4561,445,14387
