"","date","trt","mean","median","sd","low95","high95"
"1","2017-06-21","ctrl",0.8,0.8,0.4,0.2,1.8
"2","2017-06-21","exc",1.4,1.4,0.4,0.7,2.4
"3","2017-06-29","ctrl",0.4,0.3,0.3,0.1,1.1
"4","2017-06-29","exc",0.9,0.8,0.3,0.4,1.6
