"taxon","taxon_short"
"chiro-a","chi-a"
"chiro-l","chi-l"
"chiro-p","chi-p"
"chironomidae","chi"
"coleo-ad","col-a"
"coleo-l","col-l"
"coleoptera","col"
"collembola","coll"
"copepod","cop"
"corixidae","cor"
"ephemeroptera","eph"
"fish-yoy","fis"
"hemiptera","hem"
"hymenoptera","hym"
"ostracod","ost"
"sciaridae","sci"
"seed","see"
"spider","spi"
"spotfin","spo"
"largemouth","lar"
"rivershiner","riv"
"bluegill","blu"
